id,case_num,pn_num,feature_num
00000_000,0,00000,000
00000_001,0,00000,001
00000_002,0,00000,002
00000_003,0,00000,003
00000_004,0,00000,004
00000_005,0,00000,005
00000_006,0,00000,006
00000_007,0,00000,007
00000_008,0,00000,008
00000_009,0,00000,009
00000_010,0,00000,010
00000_011,0,00000,011
00000_012,0,00000,012
00068_000,0,00068,000
00068_001,0,00068,001
00068_002,0,00068,002
00068_003,0,00068,003
00068_004,0,00068,004
00068_005,0,00068,005
00068_006,0,00068,006
00068_007,0,00068,007
00068_008,0,00068,008
00068_009,0,00068,009
00068_010,0,00068,010
00068_011,0,00068,011
00068_012,0,00068,012
00136_000,0,00136,000
00136_001,0,00136,001
00136_002,0,00136,002
00136_003,0,00136,003
00136_004,0,00136,004
00136_005,0,00136,005
00136_006,0,00136,006
00136_007,0,00136,007
00136_008,0,00136,008
00136_009,0,00136,009
00136_010,0,00136,010
00136_011,0,00136,011
00136_012,0,00136,012
00204_000,0,00204,000
00204_001,0,00204,001
00204_002,0,00204,002
00204_003,0,00204,003
00204_004,0,00204,004
00204_005,0,00204,005
00204_006,0,00204,006
00204_007,0,00204,007
00204_008,0,00204,008
00204_009,0,00204,009
00204_010,0,00204,010
00204_011,0,00204,011
00204_012,0,00204,012
00272_000,0,00272,000
00272_001,0,00272,001
00272_002,0,00272,002
00272_003,0,00272,003
00272_004,0,00272,004
00272_005,0,00272,005
00272_006,0,00272,006
00272_007,0,00272,007
00272_008,0,00272,008
00272_009,0,00272,009
00272_010,0,00272,010
00272_011,0,00272,011
00272_012,0,00272,012
00340_000,0,00340,000
00340_001,0,00340,001
00340_002,0,00340,002
00340_003,0,00340,003
00340_004,0,00340,004
00340_005,0,00340,005
00340_006,0,00340,006
00340_007,0,00340,007
00340_008,0,00340,008
00340_009,0,00340,009
00340_010,0,00340,010
00340_011,0,00340,011
00340_012,0,00340,012
00408_000,0,00408,000
00408_001,0,00408,001
00408_002,0,00408,002
00408_003,0,00408,003
00408_004,0,00408,004
00408_005,0,00408,005
00408_006,0,00408,006
00408_007,0,00408,007
00408_008,0,00408,008
00408_009,0,00408,009
00408_010,0,00408,010
00408_011,0,00408,011
00408_012,0,00408,012
00476_000,0,00476,000
00476_001,0,00476,001
00476_002,0,00476,002
00476_003,0,00476,003
00476_004,0,00476,004
00476_005,0,00476,005
00476_006,0,00476,006
00476_007,0,00476,007
00476_008,0,00476,008
00476_009,0,00476,009
00476_010,0,00476,010
00476_011,0,00476,011
00476_012,0,00476,012
00544_000,0,00544,000
00544_001,0,00544,001
00544_002,0,00544,002
00544_003,0,00544,003
00544_004,0,00544,004
00544_005,0,00544,005
00544_006,0,00544,006
00544_007,0,00544,007
00544_008,0,00544,008
00544_009,0,00544,009
00544_010,0,00544,010
00544_011,0,00544,011
00544_012,0,00544,012
00612_000,0,00612,000
00612_001,0,00612,001
00612_002,0,00612,002
00612_003,0,00612,003
00612_004,0,00612,004
00612_005,0,00612,005
00612_006,0,00612,006
00612_007,0,00612,007
00612_008,0,00612,008
00612_009,0,00612,009
00612_010,0,00612,010
00612_011,0,00612,011
00612_012,0,00612,012
00680_000,0,00680,000
00680_001,0,00680,001
00680_002,0,00680,002
00680_003,0,00680,003
00680_004,0,00680,004
00680_005,0,00680,005
00680_006,0,00680,006
00680_007,0,00680,007
00680_008,0,00680,008
00680_009,0,00680,009
00680_010,0,00680,010
00680_011,0,00680,011
00680_012,0,00680,012
00748_000,0,00748,000
00748_001,0,00748,001
00748_002,0,00748,002
00748_003,0,00748,003
00748_004,0,00748,004
00748_005,0,00748,005
00748_006,0,00748,006
00748_007,0,00748,007
00748_008,0,00748,008
00748_009,0,00748,009
00748_010,0,00748,010
00748_011,0,00748,011
00748_012,0,00748,012
00818_000,0,00818,000
00818_001,0,00818,001
00818_002,0,00818,002
00818_003,0,00818,003
00818_004,0,00818,004
00818_005,0,00818,005
00818_006,0,00818,006
00818_007,0,00818,007
00818_008,0,00818,008
00818_009,0,00818,009
00818_010,0,00818,010
00818_011,0,00818,011
00818_012,0,00818,012
00884_000,0,00884,000
00884_001,0,00884,001
00884_002,0,00884,002
00884_003,0,00884,003
00884_004,0,00884,004
00884_005,0,00884,005
00884_006,0,00884,006
00884_007,0,00884,007
00884_008,0,00884,008
00884_009,0,00884,009
00884_010,0,00884,010
00884_011,0,00884,011
00884_012,0,00884,012
00952_000,0,00952,000
00952_001,0,00952,001
00952_002,0,00952,002
00952_003,0,00952,003
00952_004,0,00952,004
00952_005,0,00952,005
00952_006,0,00952,006
00952_007,0,00952,007
00952_008,0,00952,008
00952_009,0,00952,009
00952_010,0,00952,010
00952_011,0,00952,011
00952_012,0,00952,012
01020_000,0,01020,000
01020_001,0,01020,001
01020_002,0,01020,002
01020_003,0,01020,003
01020_004,0,01020,004
01020_005,0,01020,005
01020_006,0,01020,006
01020_007,0,01020,007
01020_008,0,01020,008
01020_009,0,01020,009
01020_010,0,01020,010
01020_011,0,01020,011
01020_012,0,01020,012
01088_000,0,01088,000
01088_001,0,01088,001
01088_002,0,01088,002
01088_003,0,01088,003
01088_004,0,01088,004
01088_005,0,01088,005
01088_006,0,01088,006
01088_007,0,01088,007
01088_008,0,01088,008
01088_009,0,01088,009
01088_010,0,01088,010
01088_011,0,01088,011
01088_012,0,01088,012
01156_000,0,01156,000
01156_001,0,01156,001
01156_002,0,01156,002
01156_003,0,01156,003
01156_004,0,01156,004
01156_005,0,01156,005
01156_006,0,01156,006
01156_007,0,01156,007
01156_008,0,01156,008
01156_009,0,01156,009
01156_010,0,01156,010
01156_011,0,01156,011
01156_012,0,01156,012
01224_000,0,01224,000
01224_001,0,01224,001
01224_002,0,01224,002
01224_003,0,01224,003
01224_004,0,01224,004
01224_005,0,01224,005
01224_006,0,01224,006
01224_007,0,01224,007
01224_008,0,01224,008
01224_009,0,01224,009
01224_010,0,01224,010
01224_011,0,01224,011
01224_012,0,01224,012
01292_000,0,01292,000
01292_001,0,01292,001
01292_002,0,01292,002
01292_003,0,01292,003
01292_004,0,01292,004
01292_005,0,01292,005
01292_006,0,01292,006
01292_007,0,01292,007
01292_008,0,01292,008
01292_009,0,01292,009
01292_010,0,01292,010
01292_011,0,01292,011
01292_012,0,01292,012
01360_000,0,01360,000
01360_001,0,01360,001
01360_002,0,01360,002
01360_003,0,01360,003
01360_004,0,01360,004
01360_005,0,01360,005
01360_006,0,01360,006
01360_007,0,01360,007
01360_008,0,01360,008
01360_009,0,01360,009
01360_010,0,01360,010
01360_011,0,01360,011
01360_012,0,01360,012
01428_000,0,01428,000
01428_001,0,01428,001
01428_002,0,01428,002
01428_003,0,01428,003
01428_004,0,01428,004
01428_005,0,01428,005
01428_006,0,01428,006
01428_007,0,01428,007
01428_008,0,01428,008
01428_009,0,01428,009
01428_010,0,01428,010
01428_011,0,01428,011
01428_012,0,01428,012
01496_000,0,01496,000
01496_001,0,01496,001
01496_002,0,01496,002
01496_003,0,01496,003
01496_004,0,01496,004
01496_005,0,01496,005
01496_006,0,01496,006
01496_007,0,01496,007
01496_008,0,01496,008
01496_009,0,01496,009
01496_010,0,01496,010
01496_011,0,01496,011
01496_012,0,01496,012
01564_000,0,01564,000
01564_001,0,01564,001
01564_002,0,01564,002
01564_003,0,01564,003
01564_004,0,01564,004
01564_005,0,01564,005
01564_006,0,01564,006
01564_007,0,01564,007
01564_008,0,01564,008
01564_009,0,01564,009
01564_010,0,01564,010
01564_011,0,01564,011
01564_012,0,01564,012
01632_000,0,01632,000
01632_001,0,01632,001
01632_002,0,01632,002
01632_003,0,01632,003
01632_004,0,01632,004
01632_005,0,01632,005
01632_006,0,01632,006
01632_007,0,01632,007
01632_008,0,01632,008
01632_009,0,01632,009
01632_010,0,01632,010
01632_011,0,01632,011
01632_012,0,01632,012
01700_000,0,01700,000
01700_001,0,01700,001
01700_002,0,01700,002
01700_003,0,01700,003
01700_004,0,01700,004
01700_005,0,01700,005
01700_006,0,01700,006
01700_007,0,01700,007
01700_008,0,01700,008
01700_009,0,01700,009
01700_010,0,01700,010
01700_011,0,01700,011
01700_012,0,01700,012
01768_000,0,01768,000
01768_001,0,01768,001
01768_002,0,01768,002
01768_003,0,01768,003
01768_004,0,01768,004
01768_005,0,01768,005
01768_006,0,01768,006
01768_007,0,01768,007
01768_008,0,01768,008
01768_009,0,01768,009
01768_010,0,01768,010
01768_011,0,01768,011
01768_012,0,01768,012
01836_000,0,01836,000
01836_001,0,01836,001
01836_002,0,01836,002
01836_003,0,01836,003
01836_004,0,01836,004
01836_005,0,01836,005
01836_006,0,01836,006
01836_007,0,01836,007
01836_008,0,01836,008
01836_009,0,01836,009
01836_010,0,01836,010
01836_011,0,01836,011
01836_012,0,01836,012
01904_000,0,01904,000
01904_001,0,01904,001
01904_002,0,01904,002
01904_003,0,01904,003
01904_004,0,01904,004
01904_005,0,01904,005
01904_006,0,01904,006
01904_007,0,01904,007
01904_008,0,01904,008
01904_009,0,01904,009
01904_010,0,01904,010
01904_011,0,01904,011
01904_012,0,01904,012
01972_000,0,01972,000
01972_001,0,01972,001
01972_002,0,01972,002
01972_003,0,01972,003
01972_004,0,01972,004
01972_005,0,01972,005
01972_006,0,01972,006
01972_007,0,01972,007
01972_008,0,01972,008
01972_009,0,01972,009
01972_010,0,01972,010
01972_011,0,01972,011
01972_012,0,01972,012
02040_000,0,02040,000
02040_001,0,02040,001
02040_002,0,02040,002
02040_003,0,02040,003
02040_004,0,02040,004
02040_005,0,02040,005
02040_006,0,02040,006
02040_007,0,02040,007
02040_008,0,02040,008
02040_009,0,02040,009
02040_010,0,02040,010
02040_011,0,02040,011
02040_012,0,02040,012
02108_000,0,02108,000
02108_001,0,02108,001
02108_002,0,02108,002
02108_003,0,02108,003
02108_004,0,02108,004
02108_005,0,02108,005
02108_006,0,02108,006
02108_007,0,02108,007
02108_008,0,02108,008
02108_009,0,02108,009
02108_010,0,02108,010
02108_011,0,02108,011
02108_012,0,02108,012
02176_000,0,02176,000
02176_001,0,02176,001
02176_002,0,02176,002
02176_003,0,02176,003
02176_004,0,02176,004
02176_005,0,02176,005
02176_006,0,02176,006
02176_007,0,02176,007
02176_008,0,02176,008
02176_009,0,02176,009
02176_010,0,02176,010
02176_011,0,02176,011
02176_012,0,02176,012
02244_000,0,02244,000
02244_001,0,02244,001
02244_002,0,02244,002
02244_003,0,02244,003
02244_004,0,02244,004
02244_005,0,02244,005
02244_006,0,02244,006
02244_007,0,02244,007
02244_008,0,02244,008
02244_009,0,02244,009
02244_010,0,02244,010
02244_011,0,02244,011
02244_012,0,02244,012
02312_000,0,02312,000
02312_001,0,02312,001
02312_002,0,02312,002
02312_003,0,02312,003
02312_004,0,02312,004
02312_005,0,02312,005
02312_006,0,02312,006
02312_007,0,02312,007
02312_008,0,02312,008
02312_009,0,02312,009
02312_010,0,02312,010
02312_011,0,02312,011
02312_012,0,02312,012
02380_000,0,02380,000
02380_001,0,02380,001
02380_002,0,02380,002
02380_003,0,02380,003
02380_004,0,02380,004
02380_005,0,02380,005
02380_006,0,02380,006
02380_007,0,02380,007
02380_008,0,02380,008
02380_009,0,02380,009
02380_010,0,02380,010
02380_011,0,02380,011
02380_012,0,02380,012
10031_000,1,10031,000
10031_001,1,10031,001
10031_002,1,10031,002
10031_003,1,10031,003
10031_004,1,10031,004
10031_005,1,10031,005
10031_006,1,10031,006
10031_007,1,10031,007
10031_008,1,10031,008
10031_009,1,10031,009
10031_010,1,10031,010
10031_011,1,10031,011
10031_012,1,10031,012
10056_000,1,10056,000
10056_001,1,10056,001
10056_002,1,10056,002
10056_003,1,10056,003
10056_004,1,10056,004
10056_005,1,10056,005
10056_006,1,10056,006
10056_007,1,10056,007
10056_008,1,10056,008
10056_009,1,10056,009
10056_010,1,10056,010
10056_011,1,10056,011
10056_012,1,10056,012
10082_000,1,10082,000
10082_001,1,10082,001
10082_002,1,10082,002
10082_003,1,10082,003
10082_004,1,10082,004
10082_005,1,10082,005
10082_006,1,10082,006
10082_007,1,10082,007
10082_008,1,10082,008
10082_009,1,10082,009
10082_010,1,10082,010
10082_011,1,10082,011
10082_012,1,10082,012
10108_000,1,10108,000
10108_001,1,10108,001
10108_002,1,10108,002
10108_003,1,10108,003
10108_004,1,10108,004
10108_005,1,10108,005
10108_006,1,10108,006
10108_007,1,10108,007
10108_008,1,10108,008
10108_009,1,10108,009
10108_010,1,10108,010
10108_011,1,10108,011
10108_012,1,10108,012
10134_000,1,10134,000
10134_001,1,10134,001
10134_002,1,10134,002
10134_003,1,10134,003
10134_004,1,10134,004
10134_005,1,10134,005
10134_006,1,10134,006
10134_007,1,10134,007
10134_008,1,10134,008
10134_009,1,10134,009
10134_010,1,10134,010
10134_011,1,10134,011
10134_012,1,10134,012
10160_000,1,10160,000
10160_001,1,10160,001
10160_002,1,10160,002
10160_003,1,10160,003
10160_004,1,10160,004
10160_005,1,10160,005
10160_006,1,10160,006
10160_007,1,10160,007
10160_008,1,10160,008
10160_009,1,10160,009
10160_010,1,10160,010
10160_011,1,10160,011
10160_012,1,10160,012
10186_000,1,10186,000
10186_001,1,10186,001
10186_002,1,10186,002
10186_003,1,10186,003
10186_004,1,10186,004
10186_005,1,10186,005
10186_006,1,10186,006
10186_007,1,10186,007
10186_008,1,10186,008
10186_009,1,10186,009
10186_010,1,10186,010
10186_011,1,10186,011
10186_012,1,10186,012
10212_000,1,10212,000
10212_001,1,10212,001
10212_002,1,10212,002
10212_003,1,10212,003
10212_004,1,10212,004
10212_005,1,10212,005
10212_006,1,10212,006
10212_007,1,10212,007
10212_008,1,10212,008
10212_009,1,10212,009
10212_010,1,10212,010
10212_011,1,10212,011
10212_012,1,10212,012
10238_000,1,10238,000
10238_001,1,10238,001
10238_002,1,10238,002
10238_003,1,10238,003
10238_004,1,10238,004
10238_005,1,10238,005
10238_006,1,10238,006
10238_007,1,10238,007
10238_008,1,10238,008
10238_009,1,10238,009
10238_010,1,10238,010
10238_011,1,10238,011
10238_012,1,10238,012
10264_000,1,10264,000
10264_001,1,10264,001
10264_002,1,10264,002
10264_003,1,10264,003
10264_004,1,10264,004
10264_005,1,10264,005
10264_006,1,10264,006
10264_007,1,10264,007
10264_008,1,10264,008
10264_009,1,10264,009
10264_010,1,10264,010
10264_011,1,10264,011
10264_012,1,10264,012
10290_000,1,10290,000
10290_001,1,10290,001
10290_002,1,10290,002
10290_003,1,10290,003
10290_004,1,10290,004
10290_005,1,10290,005
10290_006,1,10290,006
10290_007,1,10290,007
10290_008,1,10290,008
10290_009,1,10290,009
10290_010,1,10290,010
10290_011,1,10290,011
10290_012,1,10290,012
10317_000,1,10317,000
10317_001,1,10317,001
10317_002,1,10317,002
10317_003,1,10317,003
10317_004,1,10317,004
10317_005,1,10317,005
10317_006,1,10317,006
10317_007,1,10317,007
10317_008,1,10317,008
10317_009,1,10317,009
10317_010,1,10317,010
10317_011,1,10317,011
10317_012,1,10317,012
10342_000,1,10342,000
10342_001,1,10342,001
10342_002,1,10342,002
10342_003,1,10342,003
10342_004,1,10342,004
10342_005,1,10342,005
10342_006,1,10342,006
10342_007,1,10342,007
10342_008,1,10342,008
10342_009,1,10342,009
10342_010,1,10342,010
10342_011,1,10342,011
10342_012,1,10342,012
10370_000,1,10370,000
10370_001,1,10370,001
10370_002,1,10370,002
10370_003,1,10370,003
10370_004,1,10370,004
10370_005,1,10370,005
10370_006,1,10370,006
10370_007,1,10370,007
10370_008,1,10370,008
10370_009,1,10370,009
10370_010,1,10370,010
10370_011,1,10370,011
10370_012,1,10370,012
10394_000,1,10394,000
10394_001,1,10394,001
10394_002,1,10394,002
10394_003,1,10394,003
10394_004,1,10394,004
10394_005,1,10394,005
10394_006,1,10394,006
10394_007,1,10394,007
10394_008,1,10394,008
10394_009,1,10394,009
10394_010,1,10394,010
10394_011,1,10394,011
10394_012,1,10394,012
10421_000,1,10421,000
10421_001,1,10421,001
10421_002,1,10421,002
10421_003,1,10421,003
10421_004,1,10421,004
10421_005,1,10421,005
10421_006,1,10421,006
10421_007,1,10421,007
10421_008,1,10421,008
10421_009,1,10421,009
